table_code;table_name;domain_subdomain;domain;subdomain
as1001rs;Population and attributes of age;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1002rs;Participation of seniors in the labour market;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1003rs;Net money income and expenditure of households by age of head of household;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1004rs;Expenditure of households on selected goods and services by age of head of household per capita and year;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1005rs;At-risk-of-poverty rate by selected age group and sex;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1006rs;Social and pension security;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1007rs;The most frequent causes of death of population;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1008rs;Health life expectancy by selected age;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1012rs;Use of the computers and Internet by individuals by selected age groups;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1013rs;Participation rate in education and further professional training;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1015rs;Seniors in elections to the bodies of self-governing regions deputies;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
as1016rs;Mayors of towns and municipalities;Indicators - Indicators of active population ageing;Indicators;Indicators of active population ageing
bv3001rr;Occupied dwellings by number of living rooms, access to running water and sanitation;Demographic and social statistics - Housing;Demographic and social statistics;Housing
bv3002rr;Occupied dwellings by number of rooms and occupants;Demographic and social statistics - Housing;Demographic and social statistics;Housing
cr1002rs;Occupancy of accommodation establishments – SR (countries);Sector statistics - Tourism;Sector statistics;Tourism
cr1003rr;Occupancy and capacity of accommodation establishments – selected cities;Sector statistics - Tourism;Sector statistics;Tourism
cr1004rs;Visitors in accommodation establishments of tourism by population density - yearly data;Sector statistics - Tourism;Sector statistics;Tourism
cr1801rs;Participation in tourism with overnight stays - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1802rs;Non-participation in tourism and reasons for not participating in tourism - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1803rs;Number of trips - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1804rs;Number of nights spent - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1805rs;Average number of nights spent - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1806rs;Average expenditures per trip - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1807rs;Trips - by length of trip - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1808rs;Trips - by age group - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1809rs;Trips - by purpose - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1810rs;Trips - by type of destination - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1811rs;Trips - by main type of accommodation - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1812rs;Trips - by main mode of transport - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr1813rs;Outbound trips - selected countries - yearly;Sector statistics - Tourism;Sector statistics;Tourism
cr2001rs;Capacity and performances of accommodation establishments of tourism - yearly data;Sector statistics - Tourism;Sector statistics;Tourism
cr2002rs;Organized tourism (Active and Passive) in the Slovak Republic - yearly data;Sector statistics - Tourism;Sector statistics;Tourism
cr3001rr;Occupancy and capacity of accommodation establishments – SR, regions;Sector statistics - Tourism;Sector statistics;Tourism
cr3002rr;Occupancy and capacity of accommodation establishments – districts;Sector statistics - Tourism;Sector statistics;Tourism
cr3003qr;Capacity and performances of accommodation facilities by regions - quarterly data;Sector statistics - Tourism;Sector statistics;Tourism
cr3801mr;Occupancy of accommodation establishments – SR, regions (6 categories);Sector statistics - Tourism;Sector statistics;Tourism
